Chemical Identifiers,Descriptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Output,
SMILES,averagemolecularpolarizability_pH_7.4,formalcharge_pH_6.5,tholepolarizability_a_xx_pH_7.4,tholepolarizability_a_yy_pH_7.4,tholepolarizability_a_zz_pH_7.4,atomcount,exactmass,aliphaticatomcount,aromaticatomcount,balabanindex,chainatomcount,dreidingenergy,fusedaliphaticringcount,hararyindex,heteroaromaticringcount,hyperwienerindex,maximalprojectionarea,maximalprojectionradius,maximalprojectionsize,minimalprojectionarea,minimalprojectionradius,ringatomcount,rotatablebondcount,smallestringsize,aliphaticringcountofsize_5,aromaticringcountofsize_5,polarsurfacearea_pH_7.4,asa_ASA_pH_7.4,asa_ASA+_pH_7.4,asa_ASA-_pH_7.4,asa_ASA_H_pH_7.4,asa_ASA_P_pH_7.4,logp,logd_pH_6.5,isoelectricpoint,apKa1,apKb1,averagemicrospeciescharge_Charge_pH_6.5,resonantcount,acceptorcount_pH_7.4,acceptorsitecount_pH_7.4,donorsitecount_pH_6.5,hmopienergy_pH_7.4, IC 50,
CC(O)C(O)C1=CN=C(N2CCN(C(=O)NC3=NC4=CC=CC=C4S3)CC2C)C(F)=C1,47.05,0.0,28.66,42.38,70.1,55.0,445.2,16.0,15.0,1.1,10.0,193.7,0.0,122.4,2.0,15540.0,118.9,11.0,8.64,46.87,4.42,21.0,4.0,5.0,0.0,1.0,101.8,623.5,420.9,202.7,512.7,110.8,2.84,2.84,7.04,10.54,3.55,0.0,198.0,6.0,7.0,3.0,49.51,6881,
CC1CC(F)(C2=NC=C(CC(O)CO)C=C2F)CCN1C(=O)NC3=NC4=CC(Cl)=CC=C4S3,49.08,0.0,41.54,45.23,60.47,56.0,496.1,18.0,15.0,1.24,12.0,174.4,0.0,134.4,2.0,18950.0,122.6,10.75,9.89,55.65,5.67,21.0,5.0,5.0,0.0,1.0,98.58,656.8,423.0,233.8,511.9,144.9,3.23,3.23,5.97,10.54,1.38,0.0,198.0,5.0,6.0,3.0,54.95,8,
CC1CCCN1CC2=CC(C(=O)NC3=CC=C4C(=C3)N(C)C(=O)CC4)=CC=C2C5=CC=CC=C5.Cl,52.61,1.0,52.55,70.22,35.04,65.0,453.2,16.0,18.0,1.13,7.0,207.3,0.0,142.8,0.0,17350.0,129.2,10.03,9.57,62.76,5.85,27.0,5.0,5.0,1.0,0.0,53.85,649.0,486.9,162.2,592.0,57.01,4.88,2.3,10.34,11.52,9.14,1.0,9.0,2.0,4.0,2.0,38.46,510,
CC1CN(C(=O)NC2=NC3=CC(F)=C(F)C=C3S2)CCN1C4=NC=C(C(O)CO)C=C4F,45.13,0.0,28.21,40.0,67.19,52.0,467.1,17.0,15.0,1.25,11.0,172.9,0.0,128.2,2.0,17460.0,115.4,10.62,9.24,57.69,5.25,21.0,4.0,5.0,0.0,1.0,101.8,629.2,426.4,202.9,421.0,208.2,2.71,2.71,7.05,10.55,3.56,0.0,198.0,6.0,7.0,3.0,60.48,101.5,
CC1CN(C(=O)NC2=NC3=CC(F)=CC=C3S2)CCN1C4=NC=C(C(O)CO)C=C4F,45.02,0.0,28.27,39.8,66.99,52.0,449.1,16.0,15.0,1.1,10.0,173.1,0.0,122.4,2.0,15630.0,113.7,10.52,8.93,57.41,5.25,21.0,4.0,5.0,0.0,1.0,101.8,622.8,437.1,185.7,448.3,174.4,2.57,2.57,7.04,10.55,3.56,0.0,198.0,6.0,7.0,3.0,54.99,134,
CC1CN(C(=O)NC2=NC3=CC=CC=C3S2)CCN1C4=NC=C(C(O)CO)C=C4F,44.92,0.0,28.83,38.72,67.2,52.0,431.1,15.0,15.0,1.13,9.0,173.5,0.0,116.9,2.0,13800.0,111.9,10.47,8.94,56.96,5.33,21.0,4.0,5.0,0.0,1.0,101.8,616.5,418.2,198.3,475.3,141.2,2.43,2.43,7.04,10.55,3.56,0.0,198.0,6.0,7.0,3.0,49.51,670,
CC1CN(C2=NC=C(C(O)CO)C=C2F)CCN1C(=O)NC3=NC4=CC(F)=CC=C4S3,44.79,0.0,34.09,41.39,58.9,52.0,449.1,16.0,15.0,1.1,10.0,257.5,0.0,122.3,2.0,15600.0,124.2,11.13,8.0,51.63,4.96,21.0,4.0,5.0,0.0,1.0,101.8,622.4,437.8,184.6,453.2,169.2,2.57,2.57,7.05,10.54,3.58,0.0,198.0,6.0,7.0,3.0,54.99,16.5,
CC1CN(C2=NC=C(C(O)CO)C=C2F)CCN1C(=O)NC3=NC4=CC=C(Cl)C=C4S3,47.19,0.0,35.97,42.26,63.33,52.0,465.1,16.0,15.0,1.1,10.0,257.5,0.0,122.3,2.0,15600.0,126.4,11.47,8.6,51.42,4.92,21.0,4.0,5.0,0.0,1.0,101.8,633.7,410.2,223.5,497.7,136.0,3.03,3.03,7.05,10.54,3.58,0.0,198.0,6.0,7.0,3.0,52.6,11.5,
CC1CN(C2=NC=C(C(O)CO)C=C2F)CCN1C(=O)NC3=NC4=CC=C(F)C=C4S3,44.81,0.0,34.23,41.18,59.01,52.0,449.1,16.0,15.0,1.1,10.0,257.5,0.0,122.3,2.0,15600.0,123.6,11.17,8.17,51.15,4.92,21.0,4.0,5.0,0.0,1.0,101.8,622.5,423.2,199.3,453.1,169.5,2.57,2.57,7.05,10.54,3.58,0.0,198.0,6.0,7.0,3.0,54.99,18.4,
CC1CN(C2=NC=C(C(O)CO)C=C2F)CCN1C(=O)NC3=NC4=CC=CC=C4S3,44.65,0.0,33.92,41.33,58.7,52.0,431.1,15.0,15.0,1.13,9.0,257.9,0.0,116.9,2.0,13780.0,122.5,10.92,7.87,50.44,4.92,21.0,4.0,5.0,0.0,1.0,101.8,616.1,418.9,197.2,480.1,136.0,2.43,2.43,7.05,10.54,3.58,0.0,198.0,6.0,7.0,3.0,49.51,5.8,
